GSE1	11-50
GSE1000	1-10
GSE100003	1-10
GSE100013	1-10
GSE100014	1-10
GSE100020	11-50
GSE100025	11-50
GSE100026	11-50
GSE100027	1-10
GSE10003	1-10
GSE100050	11-50
GSE100051	51-100
GSE100054	11-50
GSE10006	51-100
GSE100066	11-50
GSE100075	11-50
GSE100077	1-10
GSE100080	11-50
GSE100081	11-50
GSE10009	11-50
GSE100092	1-10
GSE100093	51-100
GSE100094	11-50
GSE100095	1-10
GSE100107	1-10
GSE100109	1-10
GSE100111	1-10
GSE100118	51-100
GSE100123	1-10
GSE100127	51-100
GSE100129	11-50
GSE100132	11-50
GSE100144	1-10
GSE100146	1-10
GSE100150	501-1000
GSE100151	51-100
GSE100152	11-50
GSE100153	11-50
GSE100154	11-50
GSE100155	101-500
GSE100156	11-50
GSE100157	11-50
GSE100158	11-50
GSE100159	11-50
GSE100160	11-50
GSE100161	51-100
GSE100162	51-100
GSE100163	51-100
GSE100164	51-100
GSE100165	101-500
GSE100166	11-50
GSE100169	11-50
GSE100178	1-10
GSE100179	51-100
GSE100183	11-50
GSE100185	1-10
GSE100188	11-50
GSE100191	11-50
GSE100192	11-50
GSE100193	1-10
GSE100199	11-50
GSE10021	11-50
GSE100215	11-50
GSE100223	11-50
GSE100224	1-10
GSE100232	11-50
GSE100239	1-10
GSE10024	1-10
GSE100240	11-50
GSE100241	1-10
GSE100243	11-50
GSE100246	1-10
GSE100258	1-10
GSE100260	1-10
GSE100261	1-10
GSE100268	1-10
GSE100269	11-50
GSE10028	11-50
GSE100281	51-100
GSE100291	1-10
GSE100297	1-10
GSE100299	11-50
GSE100301	11-50
GSE100317	11-50
GSE100322	1-10
GSE100327	11-50
GSE100336	11-50
GSE100337	101-500
GSE100340	11-50
GSE100341	1-10
GSE100344	101-500
GSE100354	1-10
GSE100359	51-100
GSE100360	11-50
GSE100361	1-10
GSE100362	1-10
GSE100363	1-10
GSE100374	11-50
GSE10038	11-50
GSE100382	11-50
GSE100392	1-10
GSE100398	1-10
GSE100399	1-10
GSE1004	11-50
GSE10040	11-50
GSE100404	11-50
GSE100408	11-50
GSE10041	51-100
GSE100417	1-10
GSE100424	11-50
GSE100427	1-10
GSE10043	1-10
GSE100430	101-500
GSE100431	101-500
GSE100433	11-50
GSE100441	11-50
GSE100442	11-50
GSE100443	11-50
GSE100447	11-50
GSE100448	1-10
GSE100451	1-10
GSE100458	11-50
GSE100459	11-50
GSE10046	1-10
GSE100466	1-10
GSE100469	11-50
GSE100472	1-10
GSE100478	11-50
GSE100479	11-50
GSE100480	51-100
GSE100483	11-50
GSE100484	11-50
GSE100493	1-10
GSE100496	11-50
GSE100504	11-50
GSE100509	11-50
GSE100511	1-10
GSE100519	1-10
GSE100521	51-100
GSE100523	1-10
GSE100527	11-50
GSE100533	1-10
GSE100534	11-50
GSE100541	11-50
GSE100549	11-50
GSE100550	101-500
GSE100551	1-10
GSE100562	11-50
GSE100565	1-10
GSE100568	51-100
GSE10057	1-10
GSE100572	11-50
GSE100574	11-50
GSE100576	11-50
GSE100587	11-50
GSE100589	1-10
GSE100592	11-50
GSE100609	1-10
GSE10061	11-50
GSE100618	101-500
GSE100624	11-50
GSE100627	1-10
GSE100629	1-10
GSE10063	51-100
GSE10064	1-10
GSE100648	101-500
GSE100656	11-50
GSE100658	1-10
GSE100665	101-500
GSE100666	1-10
GSE100669	11-50
GSE100670	11-50
GSE100671	11-50
GSE100675	1-10
GSE100676	11-50
GSE100680	11-50
GSE100681	11-50
GSE100684	1-10
GSE100687	1-10
GSE100688	11-50
GSE100691	1-10
GSE100694	11-50
GSE1007	51-100
GSE10070	11-50
GSE100703	1-10
GSE100705	11-50
GSE100708	101-500
GSE100709	1-10
GSE100711	1-10
GSE100712	11-50
